t_sec,iter,decode_ts,prefill_ts,pred_n,sclk_mhz,mclk_mhz,edge_c,junction_c,mem_c,power_w,vram_mb,busy
7,95,0.00,0.00,0,1801,1000,60,63,60,27,99,0
7,96,0.00,0.00,0,1801,1000,60,63,60,27,99,0
7,97,0.00,0.00,0,1801,1000,60,63,60,27,99,0
8,98,0.00,0.00,0,1801,1000,60,63,60,27,99,0
8,99,0.00,0.00,0,1801,1000,60,63,60,27,99,0
8,100,0.00,0.00,0,1801,1000,60,63,60,27,99,0
8,101,0.00,0.00,0,1801,1000,60,63,60,27,99,0
8,102,0.00,0.00,0,1801,1000,60,63,60,27,99,0
8,103,0.00,0.00,0,1801,1000,60,63,59,27,99,0
8,104,0.00,0.00,0,1801,1000,60,63,59,27,99,0
8,105,0.00,0.00,0,1801,1000,60,63,59,28,99,0
8,106,0.00,0.00,0,1801,1000,60,63,60,28,99,0
8,107,0.00,0.00,0,1801,1000,60,63,59,27,99,0
8,108,0.00,0.00,0,1801,1000,60,63,59,27,99,0
8,109,0.00,0.00,0,1801,1000,60,62,59,27,99,0
8,110,0.00,0.00,0,1801,1000,60,63,60,27,99,0
9,111,0.00,0.00,0,1801,1000,60,63,59,27,99,0
9,112,0.00,0.00,0,1801,1000,60,62,59,27,99,0
9,113,0.00,0.00,0,1801,1000,60,63,59,27,99,0
9,114,0.00,0.00,0,1801,1000,60,63,59,27,99,0
9,115,0.00,0.00,0,1801,1000,60,62,59,27,99,0
9,116,0.00,0.00,0,1801,1000,60,63,59,27,99,0
9,117,0.00,0.00,0,1801,1000,60,62,59,27,99,0
9,118,0.00,0.00,0,1801,1000,60,63,59,27,99,0
9,119,0.00,0.00,0,1801,1000,59,63,59,27,99,0
9,120,0.00,0.00,0,1801,1000,59,62,59,27,99,0
9,121,0.00,0.00,0,1801,1000,60,62,59,27,99,0
9,122,0.00,0.00,0,1801,1000,59,63,59,27,99,0
10,123,0.00,0.00,0,1801,1000,59,63,59,27,99,0
10,124,0.00,0.00,0,1801,1000,60,62,59,27,99,0
10,125,0.00,0.00,0,1801,1000,59,62,59,27,99,0
10,126,0.00,0.00,0,1801,1000,59,63,59,27,99,0
10,127,0.00,0.00,0,1801,1000,59,62,59,27,99,0
10,128,0.00,0.00,0,1801,1000,59,62,59,27,99,0
10,129,0.00,0.00,0,1801,1000,59,62,59,27,99,0
10,130,0.00,0.00,0,1801,1000,59,62,59,27,99,0
10,131,0.00,0.00,0,1801,1000,60,62,59,27,99,0
10,132,0.00,0.00,0,1801,1000,60,62,59,27,99,0
10,133,0.00,0.00,0,1801,1000,60,62,59,27,99,0
10,134,0.00,0.00,0,1801,1000,59,62,59,27,99,0
10,135,0.00,0.00,0,1801,1000,60,62,59,27,99,0
11,136,0.00,0.00,0,1801,1000,59,62,59,27,99,0
11,137,0.00,0.00,0,1801,1000,59,62,59,27,99,0
11,138,0.00,0.00,0,1801,1000,59,62,59,27,99,0
11,139,0.00,0.00,0,1801,1000,59,62,59,27,99,0
11,140,0.00,0.00,0,1801,1000,59,62,59,27,99,0
11,141,0.00,0.00,0,1801,1000,60,62,59,27,99,0
11,142,0.00,0.00,0,1801,1000,60,62,59,27,99,0
11,143,0.00,0.00,0,1801,1000,59,62,59,27,99,0
11,144,0.00,0.00,0,1801,1000,60,62,59,27,99,0
11,145,0.00,0.00,0,1801,1000,59,62,59,27,99,0
11,146,0.00,0.00,0,1801,1000,59,62,59,27,99,0
11,147,0.00,0.00,0,1801,1000,59,62,59,27,99,0
12,148,0.00,0.00,0,1801,1000,59,62,59,27,99,0
12,149,0.00,0.00,0,1801,1000,59,62,59,27,99,0
12,150,0.00,0.00,0,1801,1000,59,62,59,27,99,0
12,151,0.00,0.00,0,1801,1000,59,62,59,27,99,0
12,152,0.00,0.00,0,1801,1000,60,62,59,27,99,0
12,153,0.00,0.00,0,1801,1000,59,62,59,27,99,0
12,154,0.00,0.00,0,1801,1000,59,62,59,27,99,0
12,155,0.00,0.00,0,1801,1000,59,62,59,27,99,0
12,156,0.00,0.00,0,1801,1000,59,62,59,27,99,0
12,157,0.00,0.00,0,1801,1000,59,62,59,27,99,0
12,158,0.00,0.00,0,1801,1000,59,62,59,27,99,0
12,159,0.00,0.00,0,1801,1000,59,62,59,27,99,0
12,160,0.00,0.00,0,1801,1000,59,62,59,27,99,0
13,161,0.00,0.00,0,1801,1000,59,62,59,27,99,0
13,162,0.00,0.00,0,1801,1000,59,62,59,27,99,0
13,163,0.00,0.00,0,1801,1000,59,62,59,27,99,0
13,164,0.00,0.00,0,1801,1000,59,62,59,27,99,0
13,165,0.00,0.00,0,1801,1000,59,62,58,27,99,0
13,166,0.00,0.00,0,1801,1000,59,62,58,27,99,0
13,167,0.00,0.00,0,1801,1000,59,62,58,27,99,0
13,168,0.00,0.00,0,1801,1000,59,62,59,27,99,0
13,169,0.00,0.00,0,1801,1000,59,62,59,27,99,0
14,170,0.00,0.00,0,1801,1000,59,62,58,27,99,0
16,171,0.00,0.00,0,1801,1000,58,61,58,27,99,0
17,172,0.00,0.00,0,1801,1000,58,61,58,27,99,0
17,173,0.00,0.00,0,1801,1000,58,61,58,27,99,0
17,174,0.00,0.00,0,1801,1000,58,61,58,27,99,0
17,175,0.00,0.00,0,1801,1000,59,61,58,27,99,0
17,176,0.00,0.00,0,1801,1000,59,61,58,27,99,0
17,177,0.00,0.00,0,1801,1000,58,61,58,27,99,0
17,178,0.00,0.00,0,1801,1000,58,61,58,27,99,0
18,179,0.00,0.00,0,1801,1000,58,61,58,27,99,0
18,180,0.00,0.00,0,1801,1000,58,61,58,27,99,0
18,181,0.00,0.00,0,1801,1000,58,61,58,27,99,0
18,182,0.00,0.00,0,1801,1000,58,61,58,27,99,0
18,183,0.00,0.00,0,1801,1000,58,61,58,27,99,0
18,184,0.00,0.00,0,1801,1000,58,61,58,27,99,0
18,185,0.00,0.00,0,1801,1000,59,61,58,27,99,0
18,186,0.00,0.00,0,1801,1000,58,61,58,27,99,0
18,187,0.00,0.00,0,1801,1000,59,61,58,27,99,0
18,188,0.00,0.00,0,1801,1000,58,61,58,27,99,0
18,189,0.00,0.00,0,1801,1000,58,61,58,27,99,0
18,190,0.00,0.00,0,1801,1000,58,61,58,27,99,0
19,191,0.00,0.00,0,1801,1000,58,61,58,27,99,0
19,192,0.00,0.00,0,1801,1000,58,61,58,27,99,0
19,193,0.00,0.00,0,1801,1000,58,61,58,27,99,0
19,194,0.00,0.00,0,1801,1000,58,61,58,27,99,0
19,195,0.00,0.00,0,1801,1000,58,61,58,27,99,0
19,196,0.00,0.00,0,1801,1000,58,61,58,27,99,0
19,197,0.00,0.00,0,1801,1000,58,61,58,27,99,0
19,198,0.00,0.00,0,1801,1000,58,61,58,27,99,0
19,199,0.00,0.00,0,1801,1000,57,60,58,27,99,0
19,200,0.00,0.00,0,1801,1000,58,61,58,27,99,0
19,201,0.00,0.00,0,1801,1000,58,61,58,27,99,0
19,202,0.00,0.00,0,1801,1000,58,61,58,27,99,0
20,203,0.00,0.00,0,1801,1000,58,61,58,27,99,0
20,204,0.00,0.00,0,1801,1000,58,61,58,27,99,0
20,205,0.00,0.00,0,1801,1000,58,61,57,27,1120,0
20,206,0.00,0.00,0,1801,1000,58,61,58,27,13880,0
20,207,0.00,0.00,0,1801,1000,58,61,58,27,13881,0
20,208,0.00,0.00,0,1801,1000,57,61,58,27,13881,0
20,209,0.00,0.00,0,1801,1000,58,61,58,27,13881,0
20,210,0.00,0.00,0,1801,1000,58,60,58,27,13881,0
20,211,0.00,0.00,0,1801,1000,58,61,57,27,13881,0
20,212,0.00,0.00,0,1801,1000,58,61,57,27,13881,0
20,213,0.00,0.00,0,1801,1000,57,61,58,27,13881,0
21,214,0.00,0.00,0,1801,1000,58,61,58,27,13881,0
21,215,0.00,0.00,0,1801,1000,58,61,57,27,13881,0
21,216,0.00,0.00,0,1801,1000,58,60,57,27,13881,0
21,217,0.00,0.00,0,1801,1000,58,61,57,27,13881,0
21,218,0.00,0.00,0,1801,1000,58,61,57,27,13881,0
21,219,0.00,0.00,0,1801,1000,58,60,57,27,13881,0
21,220,0.00,0.00,0,1801,1000,57,60,57,27,13881,0
21,221,0.00,0.00,0,1801,1000,58,61,57,27,13881,0
21,222,0.00,0.00,0,1801,1000,57,60,57,27,13881,0
22,223,0.00,0.00,0,1801,1000,58,60,57,27,13881,0
22,224,0.00,0.00,0,1801,1000,58,60,57,27,13881,0
22,225,0.00,0.00,0,1801,1000,57,61,57,27,13881,0
22,226,0.00,0.00,0,1801,1000,57,61,57,27,13881,0
22,227,0.00,0.00,0,1801,1000,57,60,57,27,13881,0
22,228,0.00,0.00,0,1801,1000,57,60,57,27,13881,0
22,229,0.00,0.00,0,1801,1000,57,60,57,27,13881,0
22,230,0.00,0.00,0,1801,1000,58,67,57,81,13881,100
22,231,0.00,0.00,0,1801,1000,58,64,57,27,13881,5
23,232,0.00,0.00,0,1801,1000,58,62,58,38,13882,0
23,233,0.00,0.00,0,1801,1000,58,62,57,28,13882,0
23,234,0.00,0.00,0,1801,1000,58,62,57,27,13882,0
23,235,0.00,0.00,0,1801,1000,58,61,57,27,13882,0
23,236,0.00,0.00,0,1801,1000,58,61,57,28,13882,0
23,237,0.00,0.00,0,1801,1000,57,62,57,28,13882,0
23,238,0.00,0.00,0,1801,1000,57,61,57,27,13882,0
23,239,0.00,0.00,0,1801,1000,57,61,57,27,13882,0
23,240,0.00,0.00,0,1801,1000,57,61,57,27,13882,86
23,241,0.00,0.00,0,1801,1000,57,61,57,27,13882,0
23,242,0.00,0.00,0,1801,1000,57,61,57,27,13882,0
24,243,0.00,0.00,0,1801,1000,58,61,57,28,13882,0
24,244,0.00,0.00,0,1801,1000,57,62,57,27,13882,0
